,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.008765125274658203,0.00032825469970703124,0.37209302325581395,0.37209259000043304,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 1}",846,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0002643238993814338,4.833256812444137e-06,0.00260485190241458,0.0006462897072953789
1,0.020761632919311525,0.0004225254058837891,0.37209302325581395,0.37209259000043304,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 2}",846,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0019553384924980025,0.0001139755921555465,0.00260485190241458,0.0006462897072953789
2,0.02624664306640625,0.00036439895629882815,0.37209302325581395,0.37209259000043304,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 3}",846,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.002531866146113903,5.7349774150160544e-05,0.00260485190241458,0.0006462897072953789
3,0.03150520324707031,0.00033206939697265624,0.48320413436692505,0.4891343906435198,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 4}",742,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.9342105263157895,0.9581993569131833,0.0018257200281941604,7.097349086644508e-06,0.22295876265592032,0.23453294404168856
4,0.03567237854003906,0.00037932395935058594,0.48320413436692505,0.5126720797672024,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 5}",742,0.6282051282051282,0.627831715210356,0.01282051282051282,0.06472491909385113,0.5256410256410257,0.5954692556634305,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6463022508038585,0.004744024361001178,4.743175696767519e-05,0.23964254234495372,0.22457537105915096
5,0.03318123817443848,0.00033693313598632814,0.5090439276485789,0.5146325378834797,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 6}",678,0.02564102564102564,0.04854368932038835,0.6282051282051282,0.627831715210356,0.6282051282051282,0.6310679611650486,0.6363636363636364,0.6387096774193548,0.631578947368421,0.6270096463022508,0.003822671451526828,7.482545946477138e-06,0.24289031841690198,0.23308102769169234
6,0.04228372573852539,0.00039215087890625,0.46770025839793283,0.48212495245998,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 7}",781,0.8461538461538461,0.9223300970873787,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0055385768425570865,9.541276807819351e-05,0.19016093439914877,0.22010351791161295
7,0.04156966209411621,0.0003537654876708984,0.6124031007751938,0.6233579282655085,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 8}",599,0.6282051282051282,0.627831715210356,0.5512820512820513,0.5889967637540453,0.6282051282051282,0.627831715210356,0.6233766233766234,0.632258064516129,0.631578947368421,0.639871382636656,0.0035959628722311058,1.162681147168127e-05,0.03081843475258613,0.017734857013165864
8,0.04190645217895508,0.00046782493591308595,0.627906976744186,0.627907409999567,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 9}",205,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0012197261361435827,0.00018988631562041807,0.0026048519024145646,0.0006462897072953943
9,0.014933586120605469,0.0003779411315917969,0.4134366925064599,0.40234019420161127,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 1}",843,0.4230769230769231,0.3818770226537217,0.4230769230769231,0.3818770226537217,0.28205128205128205,0.2815533980582524,0.5324675324675324,0.5483870967741935,0.40789473684210525,0.4180064308681672,0.0036549062594744726,7.338482036805994e-05,0.07963482546918833,0.08602564922685782
10,0.018788576126098633,0.00035343170166015627,0.627906976744186,0.627907409999567,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 2}",205,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0014478071661163815,9.903530109975563e-06,0.0026048519024145646,0.0006462897072953943
11,0.027503299713134765,0.00035157203674316404,0.6589147286821705,0.6645465345045717,10.0,"(6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 3}",159,0.8205128205128205,0.8252427184466019,0.782051282051282,0.8090614886731392,0.14102564102564102,0.1941747572815534,0.7402597402597403,0.7129032258064516,0.8157894736842105,0.7813504823151125,0.0024935027419666174,1.0828088911671212e-05,0.2617755292161426,0.23830189933678983
12,0.04047274589538574,0.00046324729919433594,0.49870801033591733,0.5002511657165376,10.0,"(6, 6)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 4}",715,0.11538461538461539,0.0970873786407767,0.7948717948717948,0.8122977346278317,0.6282051282051282,0.627831715210356,0.7922077922077922,0.8161290322580645,0.15789473684210525,0.14790996784565916,0.001779290448508911,7.312511982625228e-05,0.3010375266318157,0.31626382761094807
