,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.010371255874633788,0.0004920482635498047,0.2262135922330097,0.22621324177672383,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 1}",910,0.22705314009661837,0.22600243013365734,0.22705314009661837,0.22600243013365734,0.22705314009661837,0.22600243013365734,0.22439024390243903,0.22666666666666666,0.22549019607843138,0.22639225181598063,0.002264041599269773,6.744092534711925e-05,0.0010910057940652807,0.00027238332237182423
1,0.011332368850708008,0.000534677505493164,0.3145631067961165,0.3201296099812895,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 2}",794,0.24154589371980675,0.23815309842041313,0.3285024154589372,0.3572296476306197,0.3140096618357488,0.3402187120291616,0.36097560975609755,0.3284848484848485,0.3284313725490196,0.3365617433414044,0.0007914889352537269,1.5036332262680692e-05,0.03971668399658984,0.04204749286123488
2,0.014404296875,0.0005870819091796875,0.3699029126213592,0.35590023810103305,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 3}",490,0.45410628019323673,0.43013365735115433,0.391304347826087,0.3730255164034022,0.3864734299516908,0.3778857837181045,0.37073170731707317,0.32484848484848483,0.24509803921568626,0.2736077481840194,0.0019166829230024066,4.588590866913719e-05,0.06824441309581898,0.052959428213259885
3,0.01632661819458008,0.00062713623046875,0.4262135922330097,0.4262140074230608,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 4}",24,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4292682926829268,0.4254545454545455,0.4264705882352941,0.4261501210653753,0.0018167726159824585,3.979136801791335e-05,0.0016094382569135867,0.0004017042287733152
4,0.017665863037109375,0.0006504058837890625,0.31844660194174756,0.3131349221653812,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 5}",781,0.391304347826087,0.36330498177399756,0.3333333333333333,0.3292831105710814,0.3140096618357488,0.30133657351154314,0.2682926829268293,0.26545454545454544,0.28431372549019607,0.3062953995157385,0.0016543130484490967,3.290003619979021e-05,0.04297310511080805,0.032364169367489766
5,0.02174849510192871,0.0007032394409179687,0.34757281553398056,0.3365962705320574,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 6}",568,0.3864734299516908,0.33414337788578374,0.2898550724637681,0.29040097205346294,0.24154589371980675,0.3159173754556501,0.3902439024390244,0.3212121212121212,0.43137254901960786,0.4213075060532688,0.0049698769713364494,2.5395149105295002e-05,0.0706124523358838,0.04467729727561835
6,0.028586101531982423,0.0007080554962158204,0.3757281553398058,0.3764580761825237,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 7}",451,0.41545893719806765,0.39246658566221143,0.3671497584541063,0.3718104495747266,0.3864734299516908,0.36573511543134873,0.3853658536585366,0.38181818181818183,0.3235294117647059,0.3704600484261501,0.00698149303224417,5.923922101775853e-06,0.030222028497057806,0.009566208920043893
7,0.03717622756958008,0.0008834362030029297,0.3524271844660194,0.34781459019867483,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 8}",521,0.391304347826087,0.34750911300121506,0.3333333333333333,0.3511543134872418,0.3526570048309179,0.3450789793438639,0.36097560975609755,0.343030303030303,0.3235294117647059,0.3523002421307506,0.014366078214838778,0.00017256911335652593,0.023600268713025233,0.003514003747195108
8,0.052556514739990234,0.0009218215942382813,0.34757281553398056,0.34757275080021544,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 9}",568,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.02198864303146214,0.00012124119008838293,0.0006192993286040435,0.00015431232219401302
9,0.010785245895385742,0.0005536079406738281,0.34757281553398056,0.34757275080021544,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 1}",568,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.0003690583635629948,0.00016209679252324067,0.0006192993286040435,0.00015431232219401302
10,0.014001178741455077,0.0006601810455322266,0.34757281553398056,0.34757275080021544,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 2}",568,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.0019764055652773675,0.00012445970502463212,0.0006192993286040435,0.00015431232219401302
