,cancer log-likelihood,contra log-likelihood
2,-1.8486751906579022,-0.8194717354557761
5,2.4522765149488275,18.03056724693129
10,6.883571720659292,27.576242147769676
15,9.873337876919496,31.86617139571375
20,9.728584797543979,32.43672763534754
25,10.253580610429513,33.9784138527561
30,12.646156350290413,35.58648689445247
35,12.799725322491282,36.837853984321775
40,14.18716912486783,37.808050908160105
