,cancer SSE (left),contra SSE (left)
2,2259.1076999464376,14802.706758276232
5,1501.7859038257902,9638.117739622643
10,1161.096277666363,7047.803807026623
15,997.712548755055,5663.921243322
20,865.3840178507111,4820.162173821955
25,802.8213963941472,4344.2656020258655
30,735.404845665299,4011.989694102962
35,673.7556926269755,3678.092739605225
40,613.4738456681123,3390.7526117383545
