,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
24,0.013997030258178712,0.00027017593383789064,0.36699029126213595,0.3662576995465765,1.0,"(18,)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (18,)}",104,0.36231884057971014,0.35479951397326853,0.3864734299516908,0.36330498177399756,0.3719806763285024,0.3730255164034022,0.3853658536585366,0.3709090909090909,0.3284313725490196,0.3692493946731235,0.0031440597451205263,5.103271576671949e-06,0.021150726298198343,0.0065787169755489455
25,0.03984646797180176,0.0003245353698730469,0.4407766990291262,0.458494441887238,1.0,"(18, 18)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (18, 18)}",1,0.5362318840579711,0.5273390036452005,0.5024154589371981,0.5407047387606319,0.30917874396135264,0.29647630619684084,0.4292682926829268,0.48848484848484847,0.4264705882352941,0.43946731234866826,0.01721459978819126,2.859409195049453e-05,0.07837126012987458,0.08832829561880715
26,0.028205204010009765,0.0003792762756347656,0.38932038834951455,0.4143496305988223,1.0,"(18, 18, 18)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (18, 18, 18)}",88,0.34782608695652173,0.39489671931956255,0.40096618357487923,0.44106925880923453,0.45410628019323673,0.46051032806804376,0.33658536585365856,0.37454545454545457,0.4068627450980392,0.400726392251816,0.009744253497002893,7.059789513880855e-05,0.042793069426087765,0.031601042179438425
27,0.011011648178100585,0.00027904510498046877,0.4368932038834951,0.44102840317894787,0.316227766017,"(6,)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (6,)}",2,0.4396135265700483,0.4507897934386391,0.45893719806763283,0.44957472660996356,0.41545893719806765,0.4374240583232078,0.43902439024390244,0.43393939393939396,0.43137254901960786,0.43341404358353514,0.00433598556839604,2.5228516300433162e-05,0.014086109023246403,0.007609838498619502
28,0.008568668365478515,0.0004868030548095703,0.42330097087378643,0.42500747539353717,0.316227766017,"(6, 6)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (6, 6)}",25,0.4251207729468599,0.4240583232077764,0.42028985507246375,0.4289185905224787,0.3961352657004831,0.43377885783718106,0.43414634146341463,0.4206060606060606,0.4411764705882353,0.41767554479418884,0.001124289575971469,0.0002672195349481596,0.015410897678718151,0.0057665330978207705
29,0.010528898239135743,0.0003220558166503906,0.4155339805825243,0.4152904755039978,0.316227766017,"(6, 6, 6)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (6, 6, 6)}",34,0.42028985507246375,0.41433778857837184,0.4251207729468599,0.4131227217496962,0.4057971014492754,0.41798298906439857,0.424390243902439,0.41333333333333333,0.4019607843137255,0.41767554479418884,0.0018563744068353673,7.282903616586597e-05,0.009704056617686668,0.002115436550014908
30,0.014696693420410157,0.00027446746826171876,0.39611650485436894,0.3961324479009674,0.316227766017,"(12,)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (12,)}",66,0.4057971014492754,0.40704738760631837,0.3864734299516908,0.41676792223572295,0.36231884057971014,0.39003645200486026,0.40487804878048783,0.38545454545454544,0.4215686274509804,0.3813559322033898,0.005926316583476611,2.295434845626465e-05,0.02026499182158884,0.01352392615014751
31,0.020731163024902344,0.00029277801513671875,0.3883495145631068,0.3924619322299575,0.316227766017,"(12, 12)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (12, 12)}",89,0.34299516908212563,0.37667071688942894,0.391304347826087,0.3645200486026732,0.40096618357487923,0.41190765492102066,0.4195121951219512,0.4084848484848485,0.3872549019607843,0.400726392251816,0.004845982548556716,2.755896021411236e-05,0.02531131650678764,0.018618714339682648
32,0.010614919662475585,0.00030574798583984377,0.41650485436893203,0.4170030430608308,0.316227766017,"(12, 12, 12)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (12, 12, 12)}",31,0.38164251207729466,0.425273390036452,0.40096618357487923,0.42284325637910086,0.40096618357487923,0.42162818955042525,0.43414634146341463,0.41333333333333333,0.46568627450980393,0.4019370460048426,0.0003991430480704522,1.85278082955641e-05,0.0297037618476614,0.008536389723125442
33,0.013233232498168945,0.0002671718597412109,0.36601941747572814,0.3660155687959712,0.316227766017,"(18,)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (18,)}",105,0.36231884057971014,0.35479951397326853,0.3864734299516908,0.3645200486026732,0.3719806763285024,0.3718104495747266,0.3804878048780488,0.3709090909090909,0.3284313725490196,0.36803874092009686,0.002407174145167933,3.804550982536067e-06,0.020382980474887076,0.006158845570232352
34,0.03372774124145508,0.00040454864501953124,0.42815533980582526,0.436869791356024,0.316227766017,"(18, 18)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (18, 18)}",16,0.4444444444444444,0.4313487241798299,0.5072463768115942,0.5394896719319563,0.30917874396135264,0.29526123936816523,0.44878048780487806,0.47393939393939394,0.43137254901960786,0.4443099273607748,0.015384293298805956,7.558890252649523e-05,0.06513080494254822,0.08005475017478841
35,0.03130869865417481,0.00034584999084472654,0.3951456310679612,0.42115341785576765,0.316227766017,"(18, 18, 18)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (18, 18, 18)}",74,0.34299516908212563,0.3973268529769137,0.4106280193236715,0.4665856622114216,0.463768115942029,0.4665856622114216,0.34146341463414637,0.37212121212121213,0.4166666666666667,0.40314769975786924,0.010885960167069041,1.6349744195906863e-05,0.04697253508803411,0.03853374088179528
36,0.01119842529296875,0.00030536651611328124,0.4368932038834951,0.44272331843318513,0.1,"(6,)","{'NN__alpha': 0.10000000000000001, 'NN__hidden_layer_sizes': (6,)}",2,0.4396135265700483,0.4507897934386391,0.45893719806763283,0.44957472660996356,0.41545893719806765,0.4374240583232078,0.43902439024390244,0.43393939393939396,0.43137254901960786,0.44188861985472155,0.004323250855975081,4.9722113217122705e-05,0.014086109023246403,0.006602212083251353
