,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
17,0.006384992599487304,0.00028204917907714844,0.6227390180878553,0.6227398291211113,3.16227766017,"(18, 18, 18)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (18, 18, 18)}",53,0.6282051282051282,0.6213592233009708,0.6282051282051282,0.6213592233009708,0.6153846153846154,0.6245954692556634,0.6103896103896104,0.6258064516129033,0.631578947368421,0.6205787781350482,0.0009258448560150796,5.069700733253597e-05,0.008284649324888095,0.0020654229611244634
18,0.004345750808715821,0.00022115707397460938,0.648578811369509,0.6485839703612102,1.0,"(6,)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (6,)}",38,0.6538461538461539,0.6472491909385113,0.6153846153846154,0.656957928802589,0.6538461538461539,0.6472491909385113,0.6623376623376623,0.6451612903225806,0.6578947368421053,0.6463022508038585,0.0009626108910557975,2.817562941378643e-05,0.016969740385634122,0.00425693399003776
19,0.0059662342071533205,0.00035552978515625,0.8268733850129198,0.8268518453248314,1.0,"(6, 6)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (6, 6)}",14,0.7948717948717948,0.8349514563106796,0.8589743589743589,0.8187702265372169,0.8846153846153846,0.8122977346278317,0.8441558441558441,0.8225806451612904,0.75,0.8456591639871383,0.0013211271629104252,0.00019438472477911994,0.048021354471177155,0.011955724859944757
20,0.007965803146362305,0.00035085678100585935,0.6537467700258398,0.6537369896434087,1.0,"(6, 6, 6)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (6, 6, 6)}",37,0.6282051282051282,0.6537216828478964,0.6538461538461539,0.6472491909385113,0.6794871794871795,0.656957928802589,0.6623376623376623,0.6451612903225806,0.6447368421052632,0.6655948553054662,0.002808994498467054,7.31249021694333e-05,0.01719464994514398,0.007302298436808136
21,0.006510162353515625,0.00028219223022460935,0.4289405684754522,0.42309377862681263,1.0,"(12,)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (12,)}",83,0.358974358974359,0.39805825242718446,0.41025641025641024,0.3851132686084142,0.3717948717948718,0.3948220064724919,0.5844155844155844,0.5548387096774193,0.42105263157894735,0.38263665594855306,0.0026763248776806546,4.4288033556074986e-05,0.08085124637835117,0.06612427004818823
22,0.006350135803222657,0.0003646373748779297,0.37209302325581395,0.37209259000043304,1.0,"(12, 12)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (12, 12)}",103,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0007642201552291866,9.753745740299364e-05,0.00260485190241458,0.0006462897072953789
23,0.020375442504882813,0.0003607749938964844,0.9302325581395349,0.9341035269743669,1.0,"(12, 12, 12)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (12, 12, 12)}",11,0.9230769230769231,0.9352750809061489,0.9615384615384616,0.9288025889967637,0.9102564102564102,0.9385113268608414,0.961038961038961,0.9258064516129032,0.8947368421052632,0.9421221864951769,0.0021941117887501675,4.392816868136708e-05,0.0269172170935949,0.006033929763614395
24,0.012693357467651368,0.0002903938293457031,0.5426356589147286,0.5500662790959189,1.0,"(18,)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (18,)}",67,0.7564102564102564,0.8155339805825242,0.8205128205128205,0.8025889967637541,0.11538461538461539,0.10679611650485436,0.8571428571428571,0.9032258064516129,0.15789473684210525,0.12218649517684887,0.005765281127640268,0.0001332649386746085,0.3321380282676456,0.35736032845383564
25,0.010279560089111328,0.0003104686737060547,0.4108527131782946,0.4148652884508549,1.0,"(18, 18)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (18, 18)}",96,0.2564102564102564,0.3074433656957929,0.28205128205128205,0.30097087378640774,0.2948717948717949,0.2977346278317152,0.33766233766233766,0.3032258064516129,0.8947368421052632,0.864951768488746,0.008042907900295496,6.446115323436697e-05,0.24064474798948152,0.22506541817488782
26,0.006674051284790039,0.00028438568115234374,0.6227390180878553,0.6227398291211113,1.0,"(18, 18, 18)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (18, 18, 18)}",53,0.6282051282051282,0.6213592233009708,0.6282051282051282,0.6213592233009708,0.6153846153846154,0.6245954692556634,0.6103896103896104,0.6258064516129033,0.631578947368421,0.6205787781350482,0.0008319045292658908,4.717613914809543e-05,0.008284649324888095,0.0020654229611244634
27,0.0038355350494384765,0.00022258758544921876,0.648578811369509,0.6485839703612102,0.316227766017,"(6,)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (6,)}",38,0.6538461538461539,0.6472491909385113,0.6153846153846154,0.656957928802589,0.6538461538461539,0.6472491909385113,0.6623376623376623,0.6451612903225806,0.6578947368421053,0.6463022508038585,0.00012786053859965623,1.5681781544594417e-05,0.016969740385634122,0.00425693399003776
28,0.004960393905639649,0.00024962425231933594,0.8268733850129198,0.8268518453248314,0.316227766017,"(6, 6)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (6, 6)}",14,0.7948717948717948,0.8349514563106796,0.8589743589743589,0.8187702265372169,0.8846153846153846,0.8122977346278317,0.8441558441558441,0.8225806451612904,0.75,0.8456591639871383,0.0006556590097122751,4.735091420636107e-05,0.048021354471177155,0.011955724859944757
29,0.008939504623413086,0.00026960372924804686,0.6563307493540051,0.6563176348046991,0.316227766017,"(6, 6, 6)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (6, 6, 6)}",27,0.6282051282051282,0.6537216828478964,0.6538461538461539,0.6472491909385113,0.6794871794871795,0.656957928802589,0.6753246753246753,0.6580645161290323,0.6447368421052632,0.6655948553054662,0.0019530901100164168,5.201272750719902e-05,0.019155536717857826,0.005975015174894851
