,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.009504985809326173,0.00041332244873046873,0.37209302325581395,0.37209259000043304,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 1}",755,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.000943626055723534,9.963062558740566e-05,0.00260485190241458,0.0006462897072953789
1,0.020137977600097657,0.00045228004455566406,0.37209302325581395,0.37209259000043304,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 2}",755,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0032094753502724897,0.00010536784957226037,0.00260485190241458,0.0006462897072953789
2,0.023427915573120118,0.0003756999969482422,0.37209302325581395,0.37209259000043304,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 3}",755,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0010706848757022379,1.6214847389415264e-05,0.00260485190241458,0.0006462897072953789
3,0.028513765335083006,0.00036568641662597655,0.37209302325581395,0.37209259000043304,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 4}",755,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0021562990838814955,8.805879755774538e-06,0.00260485190241458,0.0006462897072953789
4,0.03175287246704102,0.0003576755523681641,0.627906976744186,0.627907409999567,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 5}",227,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0018002162032136099,3.1100604742279676e-06,0.0026048519024145646,0.0006462897072953943
5,0.03416118621826172,0.0003983020782470703,0.4625322997416021,0.4496599306696153,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 6}",715,0.3717948717948718,0.32038834951456313,0.34615384615384615,0.3365695792880259,0.6282051282051282,0.627831715210356,0.6623376623376623,0.6516129032258065,0.3026315789473684,0.31189710610932475,0.0013510947135423387,4.26553693066279e-05,0.1512798274048393,0.1555695041012099
6,0.03958702087402344,0.00043044090270996096,0.5426356589147286,0.5357862808817118,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 7}",661,0.3717948717948718,0.37216828478964403,0.14102564102564102,0.1488673139158576,0.9102564102564102,0.8673139158576052,0.37662337662337664,0.3709677419354839,0.9210526315789473,0.9196141479099679,0.004370341621632438,8.161895037484511e-05,0.3150153280469398,0.3036039165372037
7,0.03803234100341797,0.00045461654663085936,0.6304909560723514,0.6304901296344596,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 8}",202,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6363636363636364,0.6451612903225806,0.631578947368421,0.6237942122186495,0.002660262319274002,9.49314882349743e-05,0.0032021552829385037,0.007500396892523269
8,0.0387366771697998,0.0003737926483154297,0.627906976744186,0.627907409999567,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 9}",227,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0025826080046705293,5.26985964885559e-06,0.0026048519024145646,0.0006462897072953943
9,0.010769891738891601,0.0004058837890625,0.2842377260981912,0.2855216176597454,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 1}",1028,0.32051282051282054,0.2750809061488673,0.2948717948717949,0.284789644012945,0.2692307692307692,0.28802588996763756,0.2597402597402597,0.2903225806451613,0.27631578947368424,0.28938906752411575,0.0011606535499688111,6.913770468536659e-05,0.021566845288159494,0.005546567156463892
10,0.02003030776977539,0.0004719734191894531,0.627906976744186,0.627907409999567,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 2}",227,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0021908262523467393,0.00017999163311128866,0.0026048519024145646,0.0006462897072953943
