,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.013210693995157877,0.00045530001322428387,0.2262135922330097,0.2262133966804847,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 1}",988,0.22608695652173913,0.22627737226277372,0.22740524781341107,0.22561863173216884,0.22514619883040934,0.22674418604651161,0.0006924639415962566,4.229733444891481e-05,0.0009255057877086339,0.00046172703695352357
1,0.03779498736063639,0.0007273356119791666,0.36699029126213595,0.3810792863990177,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 2}",572,0.40869565217391307,0.3722627737226277,0.3673469387755102,0.43085880640465796,0.32456140350877194,0.34011627906976744,0.0016721202506384569,4.437248109762347e-05,0.03435659565035329,0.037566383364301896
2,0.03342771530151367,0.00047548611958821613,0.3300970873786408,0.3325123826829485,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 3}",832,0.3217391304347826,0.3197080291970803,0.3236151603498542,0.34643377001455605,0.34502923976608185,0.3313953488372093,0.005374723115504941,5.4950640918642195e-05,0.010555763196227943,0.010939290928273723
3,0.03507391611735026,0.0004450480143229167,0.3844660194174757,0.38354148253353354,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 4}",523,0.4057971014492754,0.4248175182481752,0.33819241982507287,0.3551673944687045,0.4093567251461988,0.3706395348837209,0.003829525659705166,6.17540428799388e-06,0.032728846777912775,0.029862240655971962
4,0.03915635744730631,0.0004576841990152995,0.287378640776699,0.2887507926424333,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 5}",923,0.22318840579710145,0.23065693430656933,0.2944606413994169,0.28966521106259097,0.34502923976608185,0.34593023255813954,0.0078075414749655325,7.5302369339464005e-06,0.05000392848851121,0.047064568720246495
5,0.0442343552907308,0.00045673052469889325,0.4203883495145631,0.42476033144911146,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 6}",267,0.4260869565217391,0.42627737226277373,0.42565597667638483,0.4264919941775837,0.4093567251461988,0.42151162790697677,0.0017114395438542354,8.468242489479372e-06,0.007779821054537881,0.0022988506795190455
6,0.04917502403259277,0.0006071726481119791,0.25145631067961166,0.25286912778487336,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 7}",973,0.22028985507246376,0.22189781021897811,0.2653061224489796,0.2561863173216885,0.26900584795321636,0.2805232558139535,0.00672000233350587,0.00017102633266927636,0.022169682658213702,0.024048402963186853
7,0.05586425463358561,0.0004677772521972656,0.4368932038834951,0.4349481495098857,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 8}",27,0.4260869565217391,0.42627737226277373,0.4518950437317784,0.45414847161572053,0.4327485380116959,0.42441860465116277,0.0029839621620873814,5.3560226585052e-06,0.010943644929776201,0.01359786823940555
8,0.05511371294657389,0.0004680156707763672,0.42524271844660194,0.42378922967468774,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 9}",208,0.4260869565217391,0.42773722627737226,0.4227405247813411,0.4177583697234352,0.4269005847953216,0.4258720930232558,0.0008068994548325678,1.129577476476169e-05,0.001798975570248476,0.0043319075342254714
9,0.02158037821451823,0.0007259051005045573,0.34757281553398056,0.3475727834983109,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 1}",677,0.34782608695652173,0.34744525547445254,0.3469387755102041,0.34788937409024745,0.347953216374269,0.34738372093023256,0.0022551806613360223,0.000142232397384901,0.0004510052093832608,0.0002252684727314856
10,0.03964352607727051,0.0006135304768880209,0.4077669902912621,0.4063141058190312,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 2}",437,0.42318840579710143,0.4,0.37900874635568516,0.43231441048034935,0.42105263157894735,0.3866279069767442,0.003979172415045196,0.00010720273121094514,0.02033905081398314,0.01917837497142157
11,0.03336024284362793,0.0005250771840413412,0.34757281553398056,0.3475727834983109,10.0,"(6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 3}",677,0.34782608695652173,0.34744525547445254,0.3469387755102041,0.34788937409024745,0.347953216374269,0.34738372093023256,0.005020440910468168,4.223771282883379e-05,0.0004510052093832608,0.0002252684727314856
12,0.03894575436909994,0.0004736582438151042,0.3611650485436893,0.3762732551344574,10.0,"(6, 6)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 4}",596,0.391304347826087,0.4058394160583942,0.3965014577259475,0.4104803493449782,0.2953216374269006,0.3125,0.006603354873278668,5.969464606670991e-06,0.04647133503272131,0.04513428569853952
