,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.008555364608764649,0.0003849983215332031,0.34757281553398056,0.34757275080021544,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 1}",614,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.0009502440678983567,0.000108862602024577,0.0006192993286040435,0.00015431232219401302
1,0.008642578125,0.0003619194030761719,0.34757281553398056,0.34757275080021544,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 2}",614,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.0007569039089786203,4.3260721043525135e-05,0.0006192993286040435,0.00015431232219401302
2,0.011696624755859374,0.0003754138946533203,0.2262135922330097,0.22621324177672383,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 3}",1050,0.22705314009661837,0.22600243013365734,0.22705314009661837,0.22600243013365734,0.22705314009661837,0.22600243013365734,0.22439024390243903,0.22666666666666666,0.22549019607843138,0.22639225181598063,0.0012534311405584548,7.007747870757763e-05,0.0010910057940652807,0.00027238332237182423
3,0.010383033752441406,0.00039544105529785154,0.4262135922330097,0.4262140074230608,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 4}",4,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4292682926829268,0.4254545454545455,0.4264705882352941,0.4261501210653753,0.0019109287612933373,0.00010308416513523074,0.0016094382569135867,0.0004017042287733152
4,0.010835361480712891,0.0003883838653564453,0.34757281553398056,0.34757275080021544,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 5}",614,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.001346299345466822,5.19207572500874e-05,0.0006192993286040435,0.00015431232219401302
5,0.020313358306884764,0.00035881996154785156,0.42135922330097086,0.4237877041370667,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 6}",423,0.4106280193236715,0.4240583232077764,0.41545893719806765,0.42770352369380316,0.4251207729468599,0.4240583232077764,0.4292682926829268,0.41575757575757577,0.4264705882352941,0.42736077481840196,0.0034650839693349156,4.6059606396011815e-05,0.007113932782050254,0.0043065045698038335
6,0.013611221313476562,0.0003185272216796875,0.34757281553398056,0.34757275080021544,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 7}",614,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.002671255186054684,5.062115488849721e-06,0.0006192993286040435,0.00015431232219401302
7,0.01689620018005371,0.0003523826599121094,0.34757281553398056,0.34757275080021544,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 8}",614,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.004736725876650308,5.326892147205955e-05,0.0006192993286040435,0.00015431232219401302
8,0.018114471435546876,0.0003907203674316406,0.34757281553398056,0.34757275080021544,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 9}",614,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.006712314424799132,9.327809949980466e-05,0.0006192993286040435,0.00015431232219401302
9,0.01822190284729004,0.0003816127777099609,0.34757281553398056,0.34757275080021544,10.0,"(6,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 10}",614,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.0010833533651941128,6.129121711951047e-05,0.0006192993286040435,0.00015431232219401302
10,0.023003816604614258,0.000321197509765625,0.4262135922330097,0.4262140074230608,10.0,"(6,)",11,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 11}",4,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4292682926829268,0.4254545454545455,0.4264705882352941,0.4261501210653753,0.006233034881281676,4.7764709351124394e-06,0.0016094382569135867,0.0004017042287733152
