,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.008336591720581054,0.0002994060516357422,0.627906976744186,0.627907409999567,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 1}",118,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.001158084712080404,6.095079462903953e-05,0.0026048519024145646,0.0006462897072953943
1,0.006224203109741211,0.0003635883331298828,0.37209302325581395,0.37209259000043304,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 2}",637,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0009366063015105574,8.963219565893153e-05,0.00260485190241458,0.0006462897072953789
2,0.005928230285644531,0.0002921104431152344,0.37209302325581395,0.37209259000043304,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 3}",637,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.00043935193032502577,4.5436951847989056e-05,0.00260485190241458,0.0006462897072953789
3,0.009853029251098632,0.00030193328857421877,0.37209302325581395,0.37209259000043304,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 4}",637,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.007424200098027282,4.728258208736661e-05,0.00260485190241458,0.0006462897072953789
4,0.008178186416625977,0.0002808094024658203,0.627906976744186,0.627907409999567,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 5}",118,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.001253510655169285,2.1912418519654347e-05,0.0026048519024145646,0.0006462897072953943
5,0.009392595291137696,0.00029506683349609373,0.627906976744186,0.627907409999567,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 6}",118,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0016230045461889271,4.4478351816917135e-05,0.0026048519024145646,0.0006462897072953943
6,0.012871217727661134,0.00027298927307128906,0.37209302325581395,0.37209259000043304,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 7}",637,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0028316611896859576,4.808731931869014e-06,0.00260485190241458,0.0006462897072953789
7,0.013645076751708984,0.0003556251525878906,0.6589147286821705,0.6524404302149429,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 8}",79,0.6666666666666666,0.6634304207119741,0.6410256410256411,0.6440129449838188,0.6666666666666666,0.6472491909385113,0.6363636363636364,0.635483870967742,0.6842105263157895,0.6720257234726688,0.0022062945502855378,0.00015819647468813994,0.017764255904996935,0.01334061450732893
8,0.016923046112060545,0.00035395622253417967,0.627906976744186,0.627907409999567,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'ica__n_components': 9}",118,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.00330089681747594,6.695014455475909e-05,0.0026048519024145646,0.0006462897072953943
9,0.006219816207885742,0.0002780437469482422,0.627906976744186,0.627907409999567,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'ica__n_components': 1}",118,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0011211817193342005,4.430738441588338e-06,0.0026048519024145646,0.0006462897072953943
10,0.006687736511230469,0.00030951499938964845,0.627906976744186,0.627907409999567,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'ica__n_components': 2}",118,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0007853448441400648,4.305456678873347e-05,0.0026048519024145646,0.0006462897072953943
