,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.010490512847900391,0.000614786148071289,0.2262135922330097,0.22621324177672383,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 1}",897,0.22705314009661837,0.22600243013365734,0.22705314009661837,0.22600243013365734,0.22705314009661837,0.22600243013365734,0.22439024390243903,0.22666666666666666,0.22549019607843138,0.22639225181598063,0.0011995230253028235,0.0001576466193435551,0.0010910057940652807,0.00027238332237182423
1,0.013061094284057616,0.0005455493927001953,0.3233009708737864,0.31090775646633706,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 2}",790,0.25120772946859904,0.24908869987849333,0.391304347826087,0.33292831105710813,0.3140096618357488,0.3268529769137303,0.33170731707317075,0.32242424242424245,0.3284313725490196,0.32324455205811137,0.0020697989811771646,2.35744741715561e-05,0.04483906872222723,0.031130617119819435
2,0.016159915924072267,0.0006609916687011719,0.38349514563106796,0.3888367576571543,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 3}",400,0.43478260869565216,0.425273390036452,0.36231884057971014,0.3888213851761847,0.3526570048309179,0.3596597812879708,0.3902439024390244,0.37454545454545457,0.37745098039215685,0.39588377723970947,0.0031050642203269054,0.00010403091924677858,0.028743329150779397,0.02205822384115521
3,0.01657404899597168,0.0006961822509765625,0.4262135922330097,0.4262140074230608,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 4}",2,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4292682926829268,0.4254545454545455,0.4264705882352941,0.4261501210653753,0.001599843146509345,0.00018800831111723918,0.0016094382569135867,0.0004017042287733152
4,0.019490575790405272,0.0006825923919677734,0.3388349514563107,0.3381128925375069,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 5}",737,0.34782608695652173,0.3462940461725395,0.3285024154589372,0.32563791008505466,0.3719806763285024,0.353584447144593,0.3121951219512195,0.3296969696969697,0.3333333333333333,0.3353510895883777,0.001676722153568323,9.067557266266762e-05,0.02014295999941729,0.01039596822558379
5,0.028477001190185546,0.000710153579711914,0.3378640776699029,0.3555630249164034,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 6}",750,0.3961352657004831,0.3511543134872418,0.26570048309178745,0.30741190765492105,0.3671497584541063,0.36087484811664644,0.35121951219512193,0.416969696969697,0.3088235294117647,0.3414043583535109,0.0075588667650135204,0.00011757576391824337,0.0458679849202514,0.03560176823475261
6,0.029693984985351564,0.0008406162261962891,0.38058252427184464,0.38448606060962676,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 7}",413,0.3285024154589372,0.3888213851761847,0.38164251207729466,0.40340218712029163,0.391304347826087,0.39611178614823817,0.424390243902439,0.3624242424242424,0.37745098039215685,0.37167070217917675,0.004411613125043801,0.00014913583536660825,0.03085987866212357,0.015249456442180892
7,0.03829975128173828,0.0008562088012695312,0.341747572815534,0.34756745724910976,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 8}",723,0.3285024154589372,0.33292831105710813,0.3526570048309179,0.35844471445929527,0.34782608695652173,0.3450789793438639,0.36585365853658536,0.34424242424242424,0.3137254901960784,0.35714285714285715,0.007345675529732506,0.0001978184338471441,0.018378807879910506,0.009397403636674878
8,0.053749370574951175,0.0008482933044433594,0.35145631067961164,0.35243301811491773,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 9}",559,0.34782608695652173,0.34750911300121506,0.3671497584541063,0.3718104495747266,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.014278632500560719,0.00014192607642765434,0.007893829124628927,0.009689892277281151
9,0.011696910858154297,0.0005306243896484375,0.34757281553398056,0.34757275080021544,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 1}",570,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.0010796320245413488,4.976055634734527e-05,0.0006192993286040435,0.00015431232219401302
10,0.014209222793579102,0.0005619049072265625,0.34757281553398056,0.34757275080021544,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 2}",570,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.0017466051298821266,4.826604978072828e-05,0.0006192993286040435,0.00015431232219401302
