,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.013885974884033203,0.00046133995056152344,0.2262135922330097,0.2262133966804847,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 1}",998,0.22608695652173913,0.22627737226277372,0.22740524781341107,0.22561863173216884,0.22514619883040934,0.22674418604651161,0.0011837071155190854,4.3883269524574554e-05,0.0009255057877086339,0.00046172703695352357
1,0.03786603609720866,0.0005318323771158854,0.41359223300970877,0.41408232597014943,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 2}",470,0.4115942028985507,0.4145985401459854,0.3965014577259475,0.42212518195050946,0.4327485380116959,0.4055232558139535,0.004382793242000966,0.000116555937535174,0.014847687078161607,0.006787530020432844
2,0.05334162712097168,0.0004572868347167969,0.4242718446601942,0.42427088632887716,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 3}",375,0.4260869565217391,0.4233576642335766,0.4227405247813411,0.42503639010189226,0.4239766081871345,0.42441860465116277,0.010094555678508857,1.0906618535063204e-05,0.0013832467153391157,0.0006932511148168282
3,0.04608853658040365,0.0005129973093668619,0.4087378640776699,0.4208227661402755,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 4}",521,0.37971014492753624,0.36934306569343067,0.4227405247813411,0.47016011644832606,0.4239766081871345,0.42296511627906974,0.0016827223027663391,7.777888232885623e-05,0.02060663690892553,0.04118625724532138
4,0.05717921257019043,0.0004547437032063802,0.3320388349514563,0.31512708923413874,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 5}",880,0.39710144927536234,0.35474452554744523,0.35276967930029157,0.35807860262008734,0.24561403508771928,0.23255813953488372,0.004426583689838646,3.2360193048321935e-06,0.06356960209651315,0.058400928122249125
5,0.05727759997049967,0.00045172373453776043,0.4223300970873786,0.4106491268969985,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 6}",397,0.4144927536231884,0.38686131386861317,0.41690962099125367,0.4192139737991266,0.43567251461988304,0.4258720930232558,0.004293207382617405,5.1590068712607965e-06,0.009458751288615277,0.01703873380283376
6,0.07424227396647136,0.0005371570587158203,0.2912621359223301,0.29465513351850214,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 7}",932,0.2753623188405797,0.2583941605839416,0.36443148688046645,0.3930131004366812,0.23391812865497075,0.23255813953488372,0.0093360357665306,0.00011043713979630015,0.05440022188714754,0.07034482799334547
7,0.0819081465403239,0.0006163914998372396,0.429126213592233,0.43446510091834095,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 8}",151,0.4289855072463768,0.43503649635036495,0.42565597667638483,0.43085880640465796,0.4327485380116959,0.4375,0.005695085398099288,9.834283919653814e-05,0.0028937302797597732,0.002741195924836025
8,0.0744167963663737,0.0004761219024658203,0.4407766990291262,0.43594334662592327,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 9}",4,0.4405797101449275,0.45255474452554745,0.45481049562682213,0.4294032023289665,0.4269005847953216,0.4258720930232558,0.00744843866797794,8.42262350685868e-06,0.011381183615605894,0.011834162084602036
9,0.015000740687052408,0.0005916754404703776,0.34757281553398056,0.3475727834983109,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 1}",709,0.34782608695652173,0.34744525547445254,0.3469387755102041,0.34788937409024745,0.347953216374269,0.34738372093023256,0.0006028197825800533,0.00017353437127968788,0.0004510052093832608,0.0002252684727314856
10,0.0398260752360026,0.0005509853363037109,0.4349514563106796,0.43398271432067154,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 2}",31,0.4260869565217391,0.4335766423357664,0.4314868804664723,0.4395924308588064,0.4473684210526316,0.42877906976744184,0.0034486816109578766,4.643269415148447e-05,0.009028375527295197,0.00442386447695924
11,0.053804636001586914,0.0004820823669433594,0.34757281553398056,0.3475727834983109,10.0,"(6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 3}",709,0.34782608695652173,0.34744525547445254,0.3469387755102041,0.34788937409024745,0.347953216374269,0.34738372093023256,0.009092671263726345,2.9968750691357935e-06,0.0004510052093832608,0.0002252684727314856
12,0.04862618446350098,0.0005727608998616537,0.3883495145631068,0.38681473029648844,10.0,"(6, 6)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 4}",609,0.32463768115942027,0.3182481751824818,0.42565597667638483,0.43085880640465796,0.4152046783625731,0.4113372093023256,0.007263348475105424,7.634368242187675e-05,0.04541557180076251,0.0491345265470764
