,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.005752277374267578,0.0003975868225097656,0.37209302325581395,0.37209259000043304,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 1}",599,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0005524172245744417,7.449350255470285e-06,0.00260485190241458,0.0006462897072953789
1,0.008676385879516602,0.0004245758056640625,0.37209302325581395,0.37209259000043304,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 2}",599,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0015921542058191782,1.8675952937666073e-06,0.00260485190241458,0.0006462897072953789
2,0.006865310668945313,0.0004436969757080078,0.37209302325581395,0.37209259000043304,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 3}",599,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,1.79922482384928e-05,4.068513680973347e-06,0.00260485190241458,0.0006462897072953789
3,0.007172346115112305,0.00045094490051269533,0.37209302325581395,0.37209259000043304,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 4}",599,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,6.367159989471623e-06,2.026417671287134e-06,0.00260485190241458,0.0006462897072953789
4,0.007873916625976562,0.00047249794006347655,0.627906976744186,0.627907409999567,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 5}",170,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.00019459119753240193,1.1473260899199704e-05,0.0026048519024145646,0.0006462897072953943
5,0.008322381973266601,0.0004764080047607422,0.7364341085271318,0.7273858645100197,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 6}",92,0.7307692307692307,0.7249190938511327,0.7435897435897436,0.7216828478964401,0.7307692307692307,0.7313915857605178,0.7402597402597403,0.7290322580645161,0.7368421052631579,0.729903536977492,4.923851065547248e-05,4.363515965550745e-06,0.0051186428289764965,0.00356943819402319
6,0.00881195068359375,0.0004955768585205078,0.37209302325581395,0.37209259000043304,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 7}",599,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,3.0131052896924816e-05,3.018043975533802e-06,0.00260485190241458,0.0006462897072953789
7,0.009601402282714843,0.0005108356475830078,0.7390180878552972,0.7320226621135664,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 8}",79,0.782051282051282,0.7540453074433657,0.782051282051282,0.7540453074433657,0.782051282051282,0.7540453074433657,0.7142857142857143,0.7709677419354839,0.631578947368421,0.6270096463022508,0.0001701753189117465,5.2551695138534746e-06,0.05923097276595545,0.05291397443793001
8,0.01011514663696289,0.0005195140838623047,0.7080103359173127,0.7067799436669644,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 9}",144,0.782051282051282,0.7540453074433657,0.782051282051282,0.7540453074433657,0.6282051282051282,0.627831715210356,0.7142857142857143,0.7709677419354839,0.631578947368421,0.6270096463022508,0.00022539023669980966,3.879708405839537e-06,0.06818009686244136,0.06509105282676404
9,0.006239795684814453,0.0004176616668701172,0.37209302325581395,0.37209259000043304,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'gmm__n_components': 1}",599,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,6.343522267384074e-05,6.892565251567003e-06,0.00260485190241458,0.0006462897072953789
