,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.42620162963867186,0.10418577194213867,0.3796116504854369,0.3796137173368881,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 1}",808,0.391304347826087,0.37667071688942894,0.3671497584541063,0.3827460510328068,0.37681159420289856,0.38031591737545567,0.35609756097560974,0.38545454545454544,0.4068627450980392,0.3728813559322034,0.06163397022013889,0.0009697582948401699,0.017815467774967966,0.004436345660423713
1,0.39577584266662597,0.1056185245513916,0.36019417475728155,0.36019619803280245,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 2}",929,0.38164251207729466,0.35479951397326853,0.3333333333333333,0.3669501822600243,0.357487922705314,0.36087484811664644,0.35121951219512193,0.3624242424242424,0.37745098039215685,0.3559322033898305,0.00572395242360855,0.0020045410843937865,0.01771829912482067,0.0044350174710323514
2,0.3924807071685791,0.10588617324829101,0.3553398058252427,0.3623859683094809,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 3}",966,0.3188405797101449,0.35236938031591736,0.36231884057971014,0.36330498177399756,0.2995169082125604,0.3827460510328068,0.3853658536585366,0.35878787878787877,0.4117647058823529,0.35472154963680386,0.004363395158474692,0.0012777247772440164,0.04139800209322255,0.01083881129162217
3,0.39995584487915037,0.10674839019775391,0.41650485436893203,0.4220898475456211,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 4}",460,0.4057971014492754,0.4240583232077764,0.37681159420289856,0.43377885783718106,0.4444444444444444,0.41433778857837184,0.44878048780487806,0.41454545454545455,0.4068627450980392,0.423728813559322,0.0028274779069750304,0.001477697522464941,0.02687583740611443,0.007213963565134371
4,0.3990734100341797,0.10464515686035156,0.3524271844660194,0.35849982387816276,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 5}",968,0.34782608695652173,0.36938031591737547,0.32367149758454106,0.3511543134872418,0.34299516908212563,0.3669501822600243,0.36097560975609755,0.3418181818181818,0.3872549019607843,0.36319612590799033,0.004170049718285569,0.002112987858483347,0.021049871884693407,0.010431515913548564
5,0.3990009307861328,0.1053171157836914,0.3058252427184466,0.30631199588968805,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 6}",1196,0.3333333333333333,0.33292831105710813,0.3188405797101449,0.2976913730255164,0.3140096618357488,0.29404617253948967,0.32195121951219513,0.29454545454545455,0.24019607843137256,0.31234866828087166,0.007011266959852775,0.0020794736384597947,0.03323267714053267,0.014886817677932523
6,0.39189777374267576,0.10463452339172363,0.4145631067961165,0.41530282783646866,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 7}",501,0.38164251207729466,0.425273390036452,0.41545893719806765,0.41190765492102066,0.38164251207729466,0.42284325637910086,0.4146341463414634,0.4206060606060606,0.4803921568627451,0.39588377723970947,0.0032666461461804863,0.002211020576218774,0.03597292289257283,0.010705336764474414
7,0.4049962520599365,0.10623116493225097,0.41941747572815535,0.42598748951003007,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 8}",406,0.41545893719806765,0.4398541919805589,0.391304347826087,0.44349939246658565,0.4492753623188406,0.4289185905224787,0.3951219512195122,0.39151515151515154,0.44607843137254904,0.4261501210653753,0.008906139882709684,0.0010441652376977576,0.024482909785628795,0.01841690566608359
8,0.40010499954223633,0.10549764633178711,0.39223300970873787,0.39152695716116026,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 9}",723,0.37681159420289856,0.41798298906439857,0.4251207729468599,0.39003645200486026,0.4057971014492754,0.39611178614823817,0.375609756097561,0.3939393939393939,0.37745098039215685,0.3595641646489104,0.010935825960299815,0.0018202042361031264,0.02001042631790576,0.018711514331646067
9,0.40821518898010256,0.10373201370239257,0.38058252427184464,0.38858371849676915,10.0,"(6,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 10}",803,0.36231884057971014,0.38760631834750914,0.37681159420289856,0.37910085054678005,0.3719806763285024,0.37910085054678005,0.36585365853658536,0.41333333333333333,0.4264705882352941,0.3837772397094431,0.00790179541772985,0.000762548072086441,0.0233451419189089,0.012778501892294944
10,0.3969711780548096,0.10598187446594239,0.3446601941747573,0.33688250636307554,10.0,"(6,)",11,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 11}",1092,0.2898550724637681,0.3244228432563791,0.40096618357487923,0.3219927095990279,0.32367149758454106,0.3402187120291616,0.35609756097560974,0.36484848484848487,0.35294117647058826,0.33292978208232443,0.0021978691446943124,0.0008864826425172566,0.03699915569449103,0.015399996769736392
