,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.37134652137756347,0.10483374595642089,0.9043927648578811,0.9173083738577388,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 1}",39,0.8717948717948718,0.9255663430420712,0.9358974358974359,0.9093851132686084,0.9102564102564102,0.9158576051779935,0.922077922077922,0.9129032258064517,0.881578947368421,0.9228295819935691,0.039668474340877634,0.0013682279917555595,0.024198974486968623,0.0060492298982217285
1,0.3183028221130371,0.10458669662475586,0.37209302325581395,0.37209259000043304,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 2}",760,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.040042468296753154,0.0015448284585128252,0.00260485190241458,0.0006462897072953789
2,0.28859658241271974,0.10369071960449219,0.37209302325581395,0.37209259000043304,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 3}",760,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.003176170050897268,0.0006526766602593777,0.00260485190241458,0.0006462897072953789
3,0.2885153770446777,0.10427021980285645,0.37209302325581395,0.37209259000043304,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 4}",760,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0043071411980957625,0.0008523816654947773,0.00260485190241458,0.0006462897072953789
4,0.28948297500610354,0.10402927398681641,0.627906976744186,0.627907409999567,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 5}",323,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0020991677798652083,0.001272487827999453,0.0026048519024145646,0.0006462897072953943
5,0.2901736259460449,0.10446062088012695,0.7002583979328165,0.6873127477074213,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 6}",167,0.6923076923076923,0.6796116504854369,0.6923076923076923,0.6537216828478964,0.7435897435897436,0.7216828478964401,0.6623376623376623,0.6612903225806451,0.7105263157894737,0.7202572347266881,0.003168087083787142,0.0014581575636553592,0.02665948980434247,0.028745351479026182
6,0.28357415199279784,0.10359020233154297,0.3695090439276486,0.36886259432057467,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 7}",916,0.358974358974359,0.3592233009708738,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37540453074433655,0.38961038961038963,0.36774193548387096,0.35526315789473684,0.36977491961414793,0.002537442865699872,0.0005049788444637603,0.012030139282816222,0.005453965742485033
7,0.2930003643035889,0.10443625450134278,0.627906976744186,0.5871640099641868,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 8}",323,0.6410256410256411,0.5533980582524272,0.6153846153846154,0.5857605177993528,0.6153846153846154,0.5663430420711975,0.6233766233766234,0.6290322580645161,0.6447368421052632,0.6012861736334405,0.003306619324888786,0.0016724616872004308,0.012554065465002782,0.02656316131393418
8,0.2865145206451416,0.10536985397338867,0.648578811369509,0.6492311792711078,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 9}",246,0.6410256410256411,0.6375404530744336,0.6794871794871795,0.6634304207119741,0.6538461538461539,0.6440129449838188,0.6493506493506493,0.6645161290322581,0.618421052631579,0.6366559485530546,0.0035635685094750963,0.0011852679615218886,0.019706941924518023,0.01230680805401477
9,0.3522649765014648,0.1046778678894043,0.8449612403100775,0.85467519550571,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'filter__n': 1}",128,0.8589743589743589,0.9158576051779935,0.8846153846153846,0.8284789644012945,0.8205128205128205,0.8446601941747572,0.8311688311688312,0.8419354838709677,0.8289473684210527,0.842443729903537,0.05055169170295066,0.0014507239770074347,0.023773692194717196,0.031118287331906913
10,0.28573060035705566,0.10466842651367188,0.627906976744186,0.627907409999567,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'filter__n': 2}",323,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0021578447379933248,0.0015941096273514943,0.0026048519024145646,0.0006462897072953943
