,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.00882406234741211,0.00045757293701171876,0.2262135922330097,0.22621324177672383,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 1}",911,0.22705314009661837,0.22600243013365734,0.22705314009661837,0.22600243013365734,0.22705314009661837,0.22600243013365734,0.22439024390243903,0.22666666666666666,0.22549019607843138,0.22639225181598063,0.0002529911838908069,7.760002848220198e-06,0.0010910057940652807,0.00027238332237182423
1,0.011327600479125977,0.000506591796875,0.2737864077669903,0.27812276677198317,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 2}",844,0.18840579710144928,0.21385176184690158,0.2318840579710145,0.25273390036452004,0.357487922705314,0.33292831105710813,0.2682926829268293,0.24848484848484848,0.3235294117647059,0.34261501210653755,0.0009105275469239461,1.5480692940471578e-06,0.061008028255028844,0.0506293594757269
2,0.014456844329833985,0.0005631446838378906,0.287378640776699,0.2823354987716048,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 3}",817,0.3961352657004831,0.35844471445929527,0.3188405797101449,0.28554070473876064,0.28502415458937197,0.29404617253948967,0.23902439024390243,0.2315151515151515,0.19607843137254902,0.24213075060532688,0.001378587590200435,1.399092553010981e-05,0.06850873288555881,0.04503144547616795
3,0.014974832534790039,0.0005740165710449219,0.4262135922330097,0.4262140074230608,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 4}",1,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4292682926829268,0.4254545454545455,0.4264705882352941,0.4261501210653753,0.0011581311014122796,2.219214683193225e-06,0.0016094382569135867,0.0004017042287733152
4,0.01805143356323242,0.0006187915802001953,0.2961165048543689,0.2932310462635647,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 5}",803,0.2946859903381642,0.30741190765492105,0.2560386473429952,0.25880923450789795,0.34299516908212563,0.34750911300121506,0.28292682926829266,0.30303030303030304,0.30392156862745096,0.24939467312348668,0.0019339851738576779,8.916472360495518e-06,0.028487948337902524,0.035636272325755024
5,0.02039179801940918,0.000662994384765625,0.3640776699029126,0.3630961735781226,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 6}",465,0.43478260869565216,0.4155528554070474,0.2898550724637681,0.29647630619684084,0.40096618357487923,0.36087484811664644,0.36097560975609755,0.36848484848484847,0.3333333333333333,0.37409200968523004,0.004272744751554928,1.9366516790342786e-05,0.050738889378029686,0.03832698974391587
6,0.02045726776123047,0.0006771564483642578,0.3883495145631068,0.3779041060949746,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 7}",414,0.3961352657004831,0.35236938031591736,0.41545893719806765,0.3778857837181045,0.4106280193236715,0.3973268529769137,0.4,0.3612121212121212,0.31862745098039214,0.400726392251816,0.0012951807933213968,5.535009397392301e-06,0.035347381736138134,0.019124564086614792
7,0.022476959228515624,0.0007692337036132813,0.34271844660194173,0.34319321452620466,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 8}",687,0.33816425120772947,0.3183475091130012,0.3285024154589372,0.34993924665856624,0.357487922705314,0.3450789793438639,0.36585365853658536,0.3478787878787879,0.3235294117647059,0.35472154963680386,0.004861832919332014,8.191621055750315e-05,0.01637313784479157,0.012815859269067966
8,0.027611446380615235,0.0007730960845947265,0.34757281553398056,0.34757275080021544,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 9}",531,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.007074853875916625,4.234534120420974e-05,0.0006192993286040435,0.00015431232219401302
9,0.01083078384399414,0.0005420207977294922,0.34757281553398056,0.34757275080021544,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'gmm__n_components': 1}",531,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.0004351653525887719,8.0815753695193e-05,0.0006192993286040435,0.00015431232219401302
10,0.012744426727294922,0.0005230426788330079,0.34757281553398056,0.34757275080021544,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'gmm__n_components': 2}",531,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.0009274811971748306,2.2788625994393385e-06,0.0006192993286040435,0.00015431232219401302
11,0.015617847442626953,0.0005732536315917969,0.34757281553398056,0.34757275080021544,10.0,"(6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'gmm__n_components': 3}",531,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.0007318112626982026,1.74802284733679e-05,0.0006192993286040435,0.00015431232219401302
12,0.016452264785766602,0.0006084442138671875,0.41067961165048544,0.4191701481375885,10.0,"(6, 6)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'gmm__n_components': 4}",297,0.34782608695652173,0.3888213851761847,0.4396135265700483,0.425273390036452,0.4057971014492754,0.43377885783718106,0.4097560975609756,0.4290909090909091,0.45098039215686275,0.4188861985472155,0.001302865225793193,2.8777428667261775e-05,0.03590032379280484,0.01593871700804862
13,0.018854331970214844,0.0006396770477294922,0.38932038834951455,0.37693174844185,10.0,"(6, 6)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'gmm__n_components': 5}",403,0.4251207729468599,0.3827460510328068,0.357487922705314,0.36573511543134873,0.4106280193236715,0.36816524908869985,0.4146341463414634,0.3781818181818182,0.3382352941176471,0.3898305084745763,0.00196932408995625,2.1341859025115e-05,0.034595834911432755,0.00898846929167004
14,0.02045578956604004,0.000782632827758789,0.4262135922330097,0.4262140074230608,10.0,"(6, 6)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'gmm__n_components': 6}",1,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4292682926829268,0.4254545454545455,0.4264705882352941,0.4261501210653753,0.003616005086919828,0.00013267496730334744,0.0016094382569135867,0.0004017042287733152
15,0.02511706352233887,0.0007657051086425781,0.3970873786407767,0.39802622436771995,10.0,"(6, 6)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'gmm__n_components': 7}",374,0.30434782608695654,0.330498177399757,0.4057971014492754,0.38760631834750914,0.4251207729468599,0.4240583232077764,0.43414634146341463,0.4218181818181818,0.4166666666666667,0.4261501210653753,0.002849310370931298,8.530623423710753e-05,0.0474438940732007,0.03661500387431601
16,0.026872825622558594,0.0007481098175048829,0.33980582524271846,0.3521861829365176,10.0,"(6, 6)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'gmm__n_components': 8}",713,0.3864734299516908,0.39246658566221143,0.2898550724637681,0.32806804374240583,0.3140096618357488,0.34143377885783716,0.36097560975609755,0.343030303030303,0.3480392156862745,0.3559322033898305,0.006214935285815695,2.181466158990687e-05,0.034285315773372724,0.021989417825379186
17,0.03141627311706543,0.0009340286254882812,0.34563106796116505,0.33572073058779406,10.0,"(6, 6)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'gmm__n_components': 9}",662,0.40096618357487923,0.38153098420413123,0.2995169082125604,0.3037667071688943,0.42028985507246375,0.39125151883353587,0.2731707317073171,0.296969696969697,0.3333333333333333,0.3050847457627119,0.007621626312418266,0.00022657230552262597,0.05690245771902791,0.04157767084605798
18,0.015777206420898436,0.0005870819091796875,0.4262135922330097,0.4262140074230608,10.0,"(6, 6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'gmm__n_components': 1}",1,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4292682926829268,0.4254545454545455,0.4264705882352941,0.4261501210653753,0.0007995611326837941,0.00012518374955180402,0.0016094382569135867,0.0004017042287733152
19,0.015939760208129882,0.0005726337432861329,0.287378640776699,0.3009177150395924,10.0,"(6, 6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'gmm__n_components': 2}",817,0.18840579710144928,0.21385176184690158,0.2318840579710145,0.25273390036452004,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3235294117647059,0.34261501210653755,0.0025530018483570656,4.363812970501406e-05,0.06536563732686365,0.05659845494518228
20,0.019183826446533204,0.0006077766418457031,0.37087378640776697,0.3689279052324545,10.0,"(6, 6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'gmm__n_components': 3}",428,0.34782608695652173,0.3450789793438639,0.4251207729468599,0.3730255164034022,0.3864734299516908,0.3827460510328068,0.35609756097560974,0.3696969696969697,0.3382352941176471,0.37409200968523004,0.0013221798762250766,1.7656115200680157e-05,0.03164658471578675,0.012678819122121055
