,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.004424428939819336,0.00040946006774902346,0.06459948320413436,0.064606150444988,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 1}",1040,0.10256410256410256,0.05501618122977346,0.01282051282051282,0.07766990291262135,0.0641025641025641,0.06472491909385113,0.05194805194805195,0.06774193548387097,0.09210526315789473,0.05787781350482315,0.00012704114244106916,5.0462935486498886e-05,0.03180155374782623,0.007971786623672024
1,0.0069691181182861325,0.0004738807678222656,0.3772609819121447,0.37725183270343854,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 2}",781,0.3974358974358974,0.37216828478964403,0.38461538461538464,0.37540453074433655,0.38461538461538464,0.37540453074433655,0.36363636363636365,0.38064516129032255,0.35526315789473684,0.38263665594855306,0.0011837415234008976,7.412120352965921e-05,0.015355897051640697,0.003825663569310258
2,0.005358362197875976,0.0004348278045654297,0.2842377260981912,0.28487645636942277,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 3}",975,0.34615384615384615,0.2686084142394822,0.3076923076923077,0.2783171521035599,0.21794871794871795,0.30097087378640774,0.2857142857142857,0.2870967741935484,0.2631578947368421,0.28938906752411575,0.000739043950625936,7.852386030831151e-05,0.04309174593012308,0.010881152603097043
3,0.005385398864746094,0.00045528411865234373,0.37209302325581395,0.37209259000043304,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 4}",782,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0010460580529593076,0.00013957941587474903,0.00260485190241458,0.0006462897072953789
4,0.0056498050689697266,0.0004162311553955078,0.627906976744186,0.627907409999567,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 5}",392,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0013555081775367597,5.204703247489328e-05,0.0026048519024145646,0.0006462897072953943
5,0.0053844451904296875,0.00043306350708007815,0.6408268733850129,0.6408315550932187,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 6}",363,0.6025641025641025,0.6504854368932039,0.6410256410256411,0.6407766990291263,0.6666666666666666,0.6343042071197411,0.6363636363636364,0.6419354838709678,0.6578947368421053,0.6366559485530546,0.0007380903979913993,7.361053068123541e-05,0.02215472738452528,0.00555807634505535
6,0.01181340217590332,0.0005037784576416016,0.875968992248062,0.867647268324433,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 7}",152,0.8717948717948718,0.919093851132686,0.9743589743589743,0.9061488673139159,0.8333333333333334,0.8576051779935275,0.8571428571428571,0.8258064516129032,0.8421052631578947,0.8295819935691319,0.0052203175348163895,9.21400671832679e-05,0.051154047163354796,0.03854759829325777
7,0.006344985961914062,0.0004712581634521484,0.32558139534883723,0.32747209279140566,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 8}",940,0.20512820512820512,0.3365695792880259,0.3076923076923077,0.3106796116504854,0.2948717948717949,0.313915857605178,0.36363636363636365,0.2967741935483871,0.4605263157894737,0.37942122186495175,0.0020377556895643505,8.126270545778252e-05,0.08392351275299197,0.028946834802040584
8,0.005823373794555664,0.00040378570556640623,0.1421188630490956,0.14468799480643113,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 9}",1012,0.20512820512820512,0.1262135922330097,0.11538461538461539,0.15210355987055016,0.14102564102564102,0.14563106796116504,0.15584415584415584,0.14193548387096774,0.09210526315789473,0.15755627009646303,0.0007558953421012516,2.1160827523300773e-05,0.03838214338835986,0.010680377971121561
9,0.009026861190795899,0.0004593372344970703,0.5710594315245479,0.5710723853660321,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'rp__n_components': 1}",663,0.5512820512820513,0.5760517799352751,0.5641025641025641,0.5728155339805825,0.5641025641025641,0.5728155339805825,0.5584415584415584,0.5741935483870968,0.618421052631579,0.5594855305466238,0.001020033433396536,6.742932656336307e-05,0.02388581611810492,0.005913854372084806
10,0.0056994915008544925,0.0004883289337158203,0.627906976744186,0.627907409999567,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'rp__n_components': 2}",392,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0006296722800762233,6.7070396614442e-05,0.0026048519024145646,0.0006462897072953943
