,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.009091615676879883,0.0005889415740966796,0.30776699029126214,0.3077647739743009,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 1}",1129,0.2946859903381642,0.3110571081409477,0.3140096618357488,0.30619684082624543,0.32367149758454106,0.3037667071688943,0.3170731707317073,0.3054545454545455,0.28921568627450983,0.31234866828087166,0.0011376330614358483,0.00014784146730464952,0.013358733499896653,0.0033356156741878498
1,0.008771848678588868,0.0009715557098388672,0.3029126213592233,0.30291745239472656,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 2}",1144,0.3140096618357488,0.3001215066828676,0.3188405797101449,0.29890643985419196,0.25120772946859904,0.3159173754556501,0.2975609756097561,0.30424242424242426,0.3333333333333333,0.29539951573849876,0.0005275554311117684,0.0008734465084672045,0.02831954499086824,0.007087714096634605
2,0.00927562713623047,0.0005306243896484375,0.35145631067961164,0.3514550755585416,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 3}",896,0.357487922705314,0.34993924665856624,0.34782608695652173,0.35236938031591736,0.36231884057971014,0.3487241798298906,0.33170731707317075,0.3563636363636364,0.35784313725490197,0.3498789346246973,0.0014311032295162703,5.6664146737218586e-05,0.01092603993429121,0.002726524210227257
3,0.007874631881713867,0.0005066394805908203,0.41262135922330095,0.4133507859331119,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 4}",325,0.4106280193236715,0.41433778857837184,0.3864734299516908,0.41919805589307413,0.4251207729468599,0.4106925880923451,0.43902439024390244,0.40606060606060607,0.4019607843137255,0.41646489104116224,0.00032864264527780024,5.683910926703771e-05,0.018189558077457934,0.004584214854575611
4,0.022626399993896484,0.0005186080932617187,0.3718446601941748,0.36095732288388344,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 5}",763,0.38164251207729466,0.37910085054678005,0.38164251207729466,0.3669501822600243,0.41545893719806765,0.393681652490887,0.32682926829268294,0.33454545454545453,0.35294117647058826,0.3305084745762712,0.01537470318509967,7.079263909564597e-05,0.029915842060420635,0.02474147473442433
5,0.013643264770507812,0.0006216526031494141,0.3029126213592233,0.30655999647667176,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 6}",1144,0.33816425120772947,0.28311057108140947,0.2753623188405797,0.30741190765492105,0.23671497584541062,0.33414337788578374,0.34146341463414637,0.3187878787878788,0.3235294117647059,0.28934624697336564,0.005793981992831631,0.00025713960932419253,0.04077913410450251,0.018747151846418935
6,0.010660314559936523,0.0006066322326660156,0.4087378640776699,0.41310363800583544,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 7}",377,0.42028985507246375,0.4082624544349939,0.4492753623188406,0.40097205346294046,0.3671497584541063,0.41919805589307413,0.36585365853658536,0.43272727272727274,0.4411764705882353,0.4043583535108959,0.002976775505360277,9.463284821242151e-05,0.03576451699218269,0.011569972963236507
7,0.011065530776977538,0.0006130218505859375,0.3466019417475728,0.3475636311570986,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 8}",994,0.3719806763285024,0.34143377885783716,0.3671497584541063,0.34264884568651277,0.34782608695652173,0.3462940461725395,0.35121951219512193,0.3466666666666667,0.29411764705882354,0.36077481840193704,0.002362824246542232,0.0001677823485289741,0.027647968698907212,0.006909154292399872
8,0.022660589218139647,0.0007010459899902344,0.38155339805825245,0.3805813555845065,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 9}",663,0.391304347826087,0.36330498177399756,0.34299516908212563,0.393681652490887,0.40096618357487923,0.38031591737545567,0.4097560975609756,0.3890909090909091,0.3627450980392157,0.3765133171912833,0.007871635944000838,0.00028981449329304877,0.024940052954016953,0.010574712911144703
9,0.0196685791015625,0.0007155418395996093,0.3572815533980582,0.35874577430176,10.0,"(6,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 10}",863,0.3333333333333333,0.3718104495747266,0.37681159420289856,0.35844471445929527,0.36231884057971014,0.3596597812879708,0.36585365853658536,0.3503030303030303,0.3480392156862745,0.35351089588377727,0.003938618170604081,0.0001753811605467327,0.01511812532646501,0.007352491605800033
10,0.01206674575805664,0.0006282329559326172,0.37475728155339805,0.3725625100575777,10.0,"(6,)",11,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 11}",725,0.3961352657004831,0.36573511543134873,0.34782608695652173,0.3778857837181045,0.42995169082125606,0.35844471445929527,0.37073170731707317,0.37696969696969695,0.3284313725490196,0.3837772397094431,0.002374804204444968,0.0001143323860512487,0.035750912387993286,0.009159215796614748
