,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.017909924189249676,0.0006079673767089844,0.2262135922330097,0.2262133966804847,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 1}",995,0.22608695652173913,0.22627737226277372,0.22740524781341107,0.22561863173216884,0.22514619883040934,0.22674418604651161,0.0009790914204730382,0.00010555689218157533,0.0009255057877086339,0.00046172703695352357
1,0.0384516716003418,0.0005963643391927084,0.3757281553398058,0.4019713642246237,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 2}",617,0.39420289855072466,0.4218978102189781,0.3498542274052478,0.4032023289665211,0.3830409356725146,0.3808139534883721,0.003881439339587186,6.728878377706857e-05,0.018841906096836118,0.016794984898516295
2,0.045272270838419594,0.0006586710611979166,0.3485436893203884,0.35497382354731366,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 3}",711,0.4057971014492754,0.42043795620437957,0.4227405247813411,0.40465793304221254,0.21637426900584794,0.23982558139534885,0.002926721160884994,0.00017394486799317943,0.09344268653355436,0.08167655941074434
3,0.04736828804016113,0.0006573200225830078,0.38349514563106796,0.3805849725866586,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 4}",586,0.3739130434782609,0.3854014598540146,0.3673469387755102,0.37117903930131,0.4093567251461988,0.3851744186046512,0.007332073134141027,0.00013119623660890842,0.018430027488032664,0.0066516450425715135
4,0.05220810572306315,0.00048828125,0.3271844660194175,0.3199234263551066,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 5}",885,0.3710144927536232,0.3635036496350365,0.24198250728862974,0.2314410480349345,0.3684210526315789,0.3648255813953488,0.0023335242460873723,1.5349170119969427e-05,0.060212332708098684,0.06256881721107982
5,0.05341315269470215,0.0004871686299641927,0.40388349514563104,0.4140943581978645,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 6}",499,0.42028985507246375,0.4248175182481752,0.43440233236151604,0.4163027656477438,0.3567251461988304,0.4011627906976744,0.006417833571659469,7.884252437105756e-06,0.03374533931210715,0.009782444529891878
6,0.056729396184285484,0.0006362597147623698,0.2621359223300971,0.2606946696047252,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 7}",981,0.28695652173913044,0.2832116788321168,0.22448979591836735,0.22416302765647744,0.27485380116959063,0.2747093023255814,0.006021659081917045,0.00010633118181293702,0.027055645978682378,0.026063937399415215
7,0.06656185785929362,0.0006897449493408203,0.43106796116504853,0.4257187142929975,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 8}",38,0.43478260869565216,0.41897810218978104,0.42565597667638483,0.4264919941775837,0.4327485380116959,0.4316860465116279,0.00650341777475452,0.000142410086990956,0.003913229683122036,0.005216731643262163
8,0.07361030578613281,0.0006690025329589844,0.42135922330097086,0.4330264718893309,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 9}",334,0.4115942028985507,0.4467153284671533,0.42565597667638483,0.4264919941775837,0.4269005847953216,0.4258720930232558,0.0019268682564417988,0.00012010728843042137,0.006948623796272584,0.009682791097833552
9,0.01729695002237956,0.0006655851999918619,0.34757281553398056,0.3475727834983109,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 1}",715,0.34782608695652173,0.34744525547445254,0.3469387755102041,0.34788937409024745,0.347953216374269,0.34738372093023256,0.0006584565320052403,0.00011841466762870745,0.0004510052093832608,0.0002252684727314856
10,0.031773885091145836,0.0010022322336832683,0.3970873786407767,0.41747452260460965,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 2}",536,0.4144927536231884,0.41897810218978104,0.3965014577259475,0.4104803493449782,0.38011695906432746,0.42296511627906974,0.003908277318875628,0.00039204895279844055,0.0140432353590343,0.005206592937571532
11,0.04386671384175619,0.0004948774973551432,0.34757281553398056,0.3475727834983109,10.0,"(6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 3}",715,0.34782608695652173,0.34744525547445254,0.3469387755102041,0.34788937409024745,0.347953216374269,0.34738372093023256,0.003943746342239769,7.802114179150188e-06,0.0004510052093832608,0.0002252684727314856
12,0.05364219347635905,0.0006113052368164062,0.38349514563106796,0.3990693550083512,10.0,"(6, 6)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 4}",586,0.40869565217391307,0.4291970802919708,0.36151603498542273,0.3915574963609898,0.38011695906432746,0.376453488372093,0.014378141137623071,0.0001406860877358979,0.01942617213679115,0.022177956584652585
