,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.00552520751953125,0.00039019584655761717,0.37209302325581395,0.37209259000043304,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 1}",664,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.00020800731066956116,4.873546361408704e-06,0.00260485190241458,0.0006462897072953789
1,0.006598711013793945,0.00042219161987304686,0.37209302325581395,0.37209259000043304,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 2}",664,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.00019162506741826773,7.57165758115464e-06,0.00260485190241458,0.0006462897072953789
2,0.012119722366333009,0.0004405498504638672,0.37209302325581395,0.37209259000043304,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 3}",664,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.004457449335019949,1.661420001047549e-06,0.00260485190241458,0.0006462897072953789
3,0.013101482391357422,0.0004595279693603516,0.37209302325581395,0.37209259000043304,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 4}",664,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0031612508263970046,2.6617595170884824e-06,0.00260485190241458,0.0006462897072953789
4,0.01338958740234375,0.00047955513000488283,0.627906976744186,0.627907409999567,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 5}",104,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0038079568768815616,4.690487910216499e-06,0.0026048519024145646,0.0006462897072953943
5,0.013412761688232421,0.0004996776580810547,0.7700258397932817,0.7640645382836047,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 6}",14,0.6666666666666666,0.7119741100323624,0.782051282051282,0.7540453074433657,0.7307692307692307,0.6893203883495146,0.8181818181818182,0.8096774193548387,0.8552631578947368,0.8553054662379421,0.0026185249523358674,6.348205276734398e-06,0.06619016874810933,0.06132850479994549
6,0.014801979064941406,0.0006304264068603515,0.37209302325581395,0.37209259000043304,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 7}",664,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.003614865678233158,0.0001964491777843116,0.00260485190241458,0.0006462897072953789
7,0.017397212982177734,0.0006036758422851562,0.3281653746770026,0.32293082838967474,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 8}",1015,0.38461538461538464,0.28802588996763756,0.2564102564102564,0.32038834951456313,0.358974358974359,0.29449838187702265,0.33766233766233766,0.35161290322580646,0.3026315789473684,0.36012861736334406,0.0025642397271774496,0.00011520478504009554,0.04491430913775782,0.02911892807507348
8,0.022632551193237305,0.0006356716156005859,0.32558139534883723,0.3325912222912594,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 9}",1028,0.3717948717948718,0.2459546925566343,0.20512820512820512,0.28802588996763756,0.2948717948717949,0.26537216828478966,0.5324675324675324,0.5806451612903226,0.2236842105263158,0.2829581993569132,0.005308822727035751,0.00011515961912383324,0.11874340392197867,0.12490360440727917
9,0.006041765213012695,0.0004047870635986328,0.37209302325581395,0.37209259000043304,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 1}",664,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,4.473434019085309e-05,4.324258441449979e-06,0.00260485190241458,0.0006462897072953789
10,0.007178592681884766,0.00043878555297851565,0.627906976744186,0.627907409999567,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 2}",104,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.00014503301411704806,1.1444091796875e-06,0.0026048519024145646,0.0006462897072953943
