,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.004150485992431641,0.0002490997314453125,0.958656330749354,0.9612296526196606,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 1}",14,0.9871794871794872,0.9546925566343042,0.9743589743589743,0.9579288025889967,0.9358974358974359,0.9644012944983819,0.974025974025974,0.9580645161290322,0.9210526315789473,0.9710610932475884,0.0001619157146268118,1.843085106858033e-06,0.02535275362725479,0.005837188721950518
1,0.006650257110595703,0.0002674579620361328,0.9250645994832042,0.9315020565149716,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 2}",65,0.8974358974358975,0.9288025889967637,0.9743589743589743,0.9061488673139159,0.9358974358974359,0.948220064724919,0.8961038961038961,0.9193548387096774,0.9210526315789473,0.954983922829582,0.0024339134630516628,1.5110848415198643e-05,0.028936092776271648,0.018047249497254423
2,0.005142593383789062,0.00027575492858886717,0.31007751937984496,0.30233549474684873,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 3}",952,0.2948717948717949,0.28802588996763756,0.3333333333333333,0.313915857605178,0.32051282051282054,0.3106796116504854,0.2987012987012987,0.3064516129032258,0.3026315789473684,0.29260450160771706,0.0011554501577291517,2.4340470232832643e-05,0.014635301370052953,0.010199299347704575
3,0.004763936996459961,0.00028147697448730467,0.37209302325581395,0.37209259000043304,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 4}",789,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0010933967079219437,5.385022330086785e-05,0.00260485190241458,0.0006462897072953789
4,0.005146121978759766,0.00029249191284179686,0.6253229974160207,0.6272643231828468,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 5}",664,0.6153846153846154,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6237942122186495,0.0009190628535014622,4.6075252473077596e-05,0.0056298676668583595,0.0017962775391519165
5,0.004463386535644531,0.00028290748596191404,0.19896640826873385,0.20735449900623318,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 6}",988,0.21794871794871795,0.18770226537216828,0.14102564102564102,0.19741100323624594,0.1794871794871795,0.23300970873786409,0.23376623376623376,0.2,0.2236842105263158,0.21864951768488747,0.000735828420556739,4.5143813478905566e-05,0.03444807046639137,0.016278447615749047
6,0.00454859733581543,0.0002705574035644531,0.4005167958656331,0.3985236595728397,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 7}",774,0.46153846153846156,0.40129449838187703,0.3717948717948718,0.3851132686084142,0.3717948717948718,0.3786407766990291,0.38961038961038963,0.3741935483870968,0.40789473684210525,0.4533762057877814,0.0005130747304045765,2.0983760803126704e-05,0.033427477546456814,0.02892611726959222
7,0.004847478866577148,0.000286102294921875,0.6770025839793282,0.6575808549583779,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 8}",375,0.6794871794871795,0.6537216828478964,0.7307692307692307,0.6601941747572816,0.5897435897435898,0.6116504854368932,0.7662337662337663,0.6870967741935484,0.618421052631579,0.6752411575562701,0.0007473253754989757,4.461804808979454e-05,0.0661565068208685,0.025746445464475375
8,0.004416561126708985,0.0003322601318359375,0.6356589147286822,0.6324423032833412,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 9}",430,0.6282051282051282,0.6310679611650486,0.6282051282051282,0.6310679611650486,0.6538461538461539,0.6440129449838188,0.6233766233766234,0.635483870967742,0.6447368421052632,0.6205787781350482,0.00038180130019010853,6.686348628702764e-05,0.011630239058557965,0.0075848763312268575
9,0.007326316833496094,0.0003211498260498047,0.7416020671834626,0.7428927292385642,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'pca__n_components': 1}",312,0.7307692307692307,0.7411003236245954,0.7692307692307693,0.7378640776699029,0.7307692307692307,0.7411003236245954,0.7272727272727273,0.7580645161290323,0.75,0.7363344051446945,0.0015253617885645704,5.7999356169529896e-05,0.01599563144152269,0.007809065305642962
10,0.0056612491607666016,0.000295257568359375,0.627906976744186,0.627907409999567,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'pca__n_components': 2}",482,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0008530083400285932,2.9199648124550373e-05,0.0026048519024145646,0.0006462897072953943
