,cancer SSE (left),contra SSE (left)
1,2322.0,9270.0
2,1983.8211888902538,8241.251073869968
3,1707.0560072597714,7213.197239024118
4,1458.107506257707,6332.63884546503
5,1271.0211366372992,5498.490530600308
6,1139.664474084434,4943.523514912435
7,1017.866167741427,4348.4123067337805
8,929.3291773550084,4108.523410371995
9,881.6342856790536,3881.611631830752
