,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.008748388290405274,0.00034236907958984375,0.37209302325581395,0.37209259000043304,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 1}",755,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.00013617150192066351,4.801634168691293e-06,0.00260485190241458,0.0006462897072953789
1,0.025480175018310548,0.0003459930419921875,0.37209302325581395,0.37209259000043304,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 2}",755,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.003829300533315903,3.472736636358857e-06,0.00260485190241458,0.0006462897072953789
2,0.028841304779052734,0.0003902435302734375,0.37209302325581395,0.37209259000043304,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 3}",755,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0011432580065439636,7.809238875445858e-05,0.00260485190241458,0.0006462897072953789
3,0.03468942642211914,0.00035338401794433595,0.37209302325581395,0.37209259000043304,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 4}",755,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.001866849318046393,6.261654461356913e-06,0.00260485190241458,0.0006462897072953789
4,0.034936380386352536,0.00035176277160644533,0.627906976744186,0.627907409999567,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 5}",181,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0020849244907121998,4.081347260767109e-06,0.0026048519024145646,0.0006462897072953943
5,0.03573002815246582,0.00035381317138671875,0.4625322997416021,0.45830729667557213,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 6}",716,0.20512820512820512,0.18122977346278318,0.6282051282051282,0.6407766990291263,0.23076923076923078,0.1941747572815534,0.6233766233766234,0.635483870967742,0.631578947368421,0.639871382636656,0.0025738713528316625,7.357830666917631e-06,0.20117570745799557,0.22099325366197142
6,0.03872232437133789,0.0004115581512451172,0.37209302325581395,0.37209259000043304,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 7}",755,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.002425273900690773,0.0001088251046616222,0.00260485190241458,0.0006462897072953789
7,0.041239595413208006,0.0003894805908203125,0.6253229974160207,0.6246711640448744,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 8}",610,0.6282051282051282,0.627831715210356,0.6153846153846154,0.6116504854368932,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.002316908408091452,5.8252758299246316e-05,0.0056298676668583595,0.006542230186531395
8,0.04215846061706543,0.00035939216613769533,0.627906976744186,0.627907409999567,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 9}",181,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0028948535503414675,1.3559793375414099e-05,0.0026048519024145646,0.0006462897072953943
9,0.009681034088134765,0.00037059783935546877,0.09819121447028424,0.09820684247326933,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 1}",1041,0.11538461538461539,0.0970873786407767,0.0641025641025641,0.10679611650485436,0.07692307692307693,0.10032362459546926,0.07792207792207792,0.1032258064516129,0.15789473684210525,0.08360128617363344,0.0004538636017107909,1.5029525994050288e-05,0.03415710701126779,0.00797523502415483
10,0.026763010025024413,0.00037636756896972654,0.627906976744186,0.627907409999567,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 2}",181,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.003940530862154323,8.728334531513405e-06,0.0026048519024145646,0.0006462897072953943
