,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.006389760971069336,0.0004872322082519531,0.37209302325581395,0.37209259000043304,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 1}",599,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0009622559864045363,0.00010343339901346235,0.00260485190241458,0.0006462897072953789
1,0.009873390197753906,0.00043978691101074217,0.37209302325581395,0.37209259000043304,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 2}",599,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0004280497079874382,1.0842777901657747e-05,0.00260485190241458,0.0006462897072953789
2,0.013157892227172851,0.00046405792236328127,0.37209302325581395,0.37209259000043304,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 3}",599,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0019426495371707827,1.83086841351021e-05,0.00260485190241458,0.0006462897072953789
3,0.008892250061035157,0.0005330562591552735,0.37209302325581395,0.37209259000043304,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 4}",599,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0009299052821276643,9.098452833173957e-05,0.00260485190241458,0.0006462897072953789
4,0.009763813018798828,0.0005404949188232422,0.627906976744186,0.627907409999567,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 5}",170,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.001377230741578867,8.716225877610249e-05,0.0026048519024145646,0.0006462897072953943
5,0.00911412239074707,0.0005648612976074218,0.7416020671834626,0.7448074012384406,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 6}",105,0.6410256410256411,0.7249190938511327,0.8076923076923077,0.7766990291262136,0.7307692307692307,0.7022653721682848,0.7792207792207793,0.7677419354838709,0.75,0.752411575562701,0.0005836286884199509,9.113397294477882e-05,0.05690549446768175,0.02759080015395989
6,0.009740209579467774,0.000617361068725586,0.37209302325581395,0.37209259000043304,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 7}",599,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0013377133630608268,0.00012952064677836927,0.00260485190241458,0.0006462897072953789
7,0.011026716232299805,0.0007342338562011719,0.21963824289405684,0.22401548940289734,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 8}",1015,0.15384615384615385,0.10032362459546926,0.0641025641025641,0.12297734627831715,0.11538461538461539,0.11003236245954692,0.6493506493506493,0.6774193548387096,0.11842105263157894,0.10932475884244373,0.0011711508087495126,0.00018722011380874806,0.21607970285383274,0.22681691554291664
8,0.011675357818603516,0.0007545948028564453,0.6718346253229974,0.6718307632350913,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 9}",144,0.7051282051282052,0.6634304207119741,0.6666666666666666,0.6731391585760518,0.6666666666666666,0.6731391585760518,0.6493506493506493,0.6774193548387096,0.6710526315789473,0.6720257234726688,0.001138870345924383,0.0003210375001044044,0.018299737326313438,0.004588244039901421
9,0.008318710327148437,0.0005186557769775391,0.37209302325581395,0.37209259000043304,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'gmm__n_components': 1}",599,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0015764537131666458,9.807632758508182e-05,0.00260485190241458,0.0006462897072953789
