,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.011402559280395509,0.0003315925598144531,0.2621359223300971,0.26189381961682556,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 1}",1247,0.28019323671497587,0.25637910085054677,0.2753623188405797,0.26366950182260024,0.2318840579710145,0.2660996354799514,0.25853658536585367,0.263030303030303,0.2647058823529412,0.2602905569007264,0.00441636247098123,3.771640254083773e-05,0.01698521139489623,0.0033201235919018547
1,0.012427663803100586,0.0003281116485595703,0.2854368932038835,0.29054378595709407,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 2}",1221,0.30917874396135264,0.29647630619684084,0.26570048309178745,0.29404617253948967,0.2608695652173913,0.29526123936816523,0.2731707317073171,0.2884848484848485,0.31862745098039214,0.2784503631961259,0.004955561770837803,3.7829268211949754e-05,0.023685262156145696,0.006636354005676551
2,0.011952686309814452,0.0003013134002685547,0.3640776699029126,0.3592253249561568,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 3}",819,0.3864734299516908,0.36938031591737547,0.3719806763285024,0.353584447144593,0.34299516908212563,0.35844471445929527,0.35121951219512193,0.3563636363636364,0.36764705882352944,0.3583535108958838,0.004456145805333812,5.089887678525122e-06,0.015430758416955705,0.005375909560464863
3,0.010677337646484375,0.0003208637237548828,0.3970873786407767,0.38763522140757145,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 4}",452,0.391304347826087,0.39489671931956255,0.357487922705314,0.39489671931956255,0.3961352657004831,0.39489671931956255,0.44390243902439025,0.3793939393939394,0.39705882352941174,0.37409200968523004,0.0031504320450861634,2.3111308832056963e-05,0.02753636667888255,0.00905014219514737
4,0.014654254913330078,0.00040755271911621096,0.2980582524271845,0.2971022012153878,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 5}",1167,0.2995169082125604,0.33292831105710813,0.2898550724637681,0.30498177399756987,0.27053140096618356,0.27460510328068044,0.32195121951219513,0.29454545454545455,0.3088235294117647,0.2784503631961259,0.005545310507721607,0.00011201965449086064,0.017401329508171946,0.021005452835564035
5,0.014666557312011719,0.0003460884094238281,0.34951456310679613,0.3504842003422229,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 6}",952,0.3671497584541063,0.35236938031591736,0.3526570048309179,0.35479951397326853,0.3671497584541063,0.34143377885783716,0.32682926829268294,0.35393939393939394,0.3333333333333333,0.3498789346246973,0.002421632209234446,5.00585002246901e-05,0.016771148408582508,0.004824741934969817
6,0.009704017639160156,0.0003012180328369141,0.4009708737864078,0.3905284231046531,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 7}",387,0.3671497584541063,0.3718104495747266,0.40096618357487923,0.39125151883353587,0.42028985507246375,0.3985419198055893,0.40487804878048783,0.3975757575757576,0.4117647058823529,0.3934624697336562,0.0014853545566849765,5.321810313531382e-06,0.018193531861495985,0.00973010876244305
7,0.010344886779785156,0.0003256797790527344,0.3650485436893204,0.35702466338708283,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 8}",816,0.37681159420289856,0.3511543134872418,0.33816425120772947,0.330498177399757,0.34782608695652173,0.36573511543134873,0.375609756097561,0.3696969696969697,0.3872549019607843,0.36803874092009686,0.003022374246765497,3.159059668458147e-05,0.018776049618803522,0.014804625579275253
8,0.008851242065429688,0.00034470558166503905,0.3737864077669903,0.3643132905701846,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 9}",722,0.3719806763285024,0.3572296476306197,0.3719806763285024,0.3645200486026732,0.3864734299516908,0.35479951397326853,0.3804878048780488,0.3842424242424242,0.35784313725490197,0.36077481840193704,0.0012925775644722557,5.91601775378472e-05,0.009640597840756937,0.010492128911967595
9,0.011446523666381835,0.0004008293151855469,0.35436893203883496,0.3492682508984175,10.0,"(6,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 10}",923,0.33816425120772947,0.33414337788578374,0.36231884057971014,0.3572296476306197,0.357487922705314,0.34993924665856624,0.375609756097561,0.35393939393939394,0.3382352941176471,0.35108958837772397,0.0051588063430101855,0.000188198414353125,0.014449215642623447,0.007971608425013658
10,0.010902023315429688,0.00032296180725097654,0.2970873786407767,0.2835205245907719,10.0,"(6,)",11,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 11}",1179,0.2753623188405797,0.31470230862697446,0.2995169082125604,0.2733900364520049,0.2753623188405797,0.29647630619684084,0.34146341463414637,0.28606060606060607,0.29411764705882354,0.2469733656174334,0.005728837529710602,1.8921244525820586e-05,0.02417799370218565,0.022737324229249588
