,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.015821139017740887,0.0007355213165283203,0.2262135922330097,0.2262133966804847,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 1}",1022,0.22608695652173913,0.22627737226277372,0.22740524781341107,0.22561863173216884,0.22514619883040934,0.22674418604651161,0.002352395710107256,0.00036288472138953985,0.0009255057877086339,0.00046172703695352357
1,0.030752261479695637,0.00043765703837076825,0.3932038834951456,0.3985402499688873,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 2}",543,0.4057971014492754,0.38686131386861317,0.3760932944606414,0.4264919941775837,0.39766081871345027,0.38226744186046513,0.005564783155092568,6.038891551180799e-06,0.01253839609044646,0.019853646486864912
2,0.03504649798075358,0.0005393822987874349,0.36213592233009706,0.36365169740995046,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 3}",644,0.41739130434782606,0.4116788321167883,0.3323615160349854,0.3420669577874818,0.3362573099415205,0.3372093023255814,0.002286830379276993,0.0001412659533891564,0.03924595419410466,0.03401816627684088
3,0.050273736317952476,0.0004825592041015625,0.39223300970873787,0.41021836449666926,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 4}",545,0.39710144927536234,0.41897810218978104,0.40816326530612246,0.43377001455604075,0.3713450292397661,0.37790697674418605,0.014346674282851683,2.7172048501663403e-05,0.015405158784848159,0.023632174420074977
4,0.04219365119934082,0.0006200472513834635,0.270873786407767,0.2656273331938101,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 5}",985,0.3507246376811594,0.34306569343065696,0.23323615160349853,0.22561863173216884,0.22807017543859648,0.22819767441860464,0.004029766909414818,9.5951029823774e-05,0.056707909108688975,0.0547673113722858
5,0.05136259396870931,0.0005144278208414713,0.4116504854368932,0.4257286184626406,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 6}",420,0.4260869565217391,0.42627737226277373,0.3819241982507289,0.42503639010189226,0.4269005847953216,0.4258720930232558,0.004779413314969849,7.985761014613657e-05,0.021006982990992722,0.0005166868123369047
6,0.05801947911580404,0.0004585584004720052,0.2504854368932039,0.2577141507975513,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 7}",1011,0.23478260869565218,0.2364963503649635,0.23323615160349853,0.21251819505094613,0.28362573099415206,0.3241279069767442,0.0015032528736648781,1.7007934696700331e-06,0.023374050432171268,0.04797102069956924
7,0.06251811981201172,0.0004858970642089844,0.4330097087378641,0.4320362361239701,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 8}",64,0.4260869565217391,0.42627737226277373,0.446064139941691,0.44395924308588064,0.4269005847953216,0.4258720930232558,0.0029477974646626064,4.395747251070243e-05,0.009230137572944703,0.008432462434972055
8,0.06748239199320476,0.0005567073822021484,0.4262135922330097,0.42621381982120443,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_clusters': 9}",105,0.4260869565217391,0.42627737226277373,0.42565597667638483,0.4264919941775837,0.4269005847953216,0.4258720930232558,0.0015184815394303217,7.440213302018633e-05,0.0005153877544269822,0.00025703248161317114
9,0.01477797826131185,0.00046698252360026043,0.34757281553398056,0.3475727834983109,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 1}",689,0.34782608695652173,0.34744525547445254,0.3469387755102041,0.34788937409024745,0.347953216374269,0.34738372093023256,0.00037267573752719176,8.612452941986126e-06,0.0004510052093832608,0.0002252684727314856
10,0.03205704689025879,0.0004946390787760416,0.41650485436893203,0.4111576380585653,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 2}",363,0.40869565217391307,0.3956204379562044,0.42565597667638483,0.44250363901018924,0.4152046783625731,0.3953488372093023,0.006157810188217792,2.9804759455747867e-05,0.006991072982320873,0.022165247174888228
11,0.03637162844340006,0.0004737377166748047,0.34757281553398056,0.3475727834983109,10.0,"(6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 3}",689,0.34782608695652173,0.34744525547445254,0.3469387755102041,0.34788937409024745,0.347953216374269,0.34738372093023256,0.001042634665529609,1.4605286822870872e-05,0.0004510052093832608,0.0002252684727314856
12,0.050811052322387695,0.0004996458689371744,0.3174757281553398,0.3234068453337689,10.0,"(6, 6)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_clusters': 4}",900,0.42318840579710143,0.42627737226277373,0.22448979591836735,0.2328966521106259,0.30409356725146197,0.311046511627907,0.0068457393367054855,3.019696775544469e-05,0.08174308212436872,0.07942967169612385
